['파스텔', '기본', '네', '일', '로', '하', '려구요', '.']	['パステル', 'の', 'ベーシック', 'ネイル', 'に', 'しよう', 'と', '思い', 'ます', '。']
['그런', '류', '의', '음식', '이', '유명', '하대', '.']	['そんな', '種類', 'の', '料理', 'が', '有名', 'だ', 'そう', 'だ', 'よ', '。']
['저', '는', '3', '박', '4', '일', '로', '오', '았', '었', '어요', '.']	['私', 'は', '3', '泊', '4', '日', 'で', '来', 'まし', 'た', '。']
['한', '번', '해보', '면', '재미', '가', '붙', '을', '거', '야', '.']	['一', '度', 'やっ', 'て', 'みる', 'と', '面白く', 'なる', 'よ', '。']
['늦', '지', '않', '게', '나가', 'ㄹ게', '조', '심히', '오', '아', '.']	['遅れ', 'ない', 'よう', 'に', '出る', '。', '気', 'を', 'つけ', 'て', 'き', 'て', 'ね', '。']
['같', '은', '것', '으로', '시키', '자', '.']	['同じ', 'もの', 'に', 'しよう', '。']
['오', 'ㄹ', '때', '메', '로', '나도', '사', '와', '.']	['来る', 'とき', 'に', 'メロナ', 'も', '買っ', 'て', 'き', 'て', '。']
['한', '줄', '주', '시', '구요', '.']	['一', '列', 'に', '並ん', 'で', 'ください', '。']
['그러', '면', '산책', '하', 'ㄴ', '거', '다', '도루묵', '되', '는', '거', '알', '냐', '?']	['する', 'と', '、', '散歩', 'し', 'た', 'こと', 'が', '無駄', 'に', 'なる', 'ん', 'じゃ', 'ない', '?']
['여기', '는', '스테이크', '가', '가장', '유명', '하', '어', '.']	['ここ', 'は', 'ステーキ', 'が', '一番', '有名', 'だ', '。']
['이', '쇼핑몰', '에', '영화관', '있', '다고', '듣', '었', '는데', '몇', '층', '에', '있', '나요', '?']	['この', 'ショッピング', 'モール', 'に', '映画', '館', 'が', 'ある', 'と', '聞い', 'た', 'の', 'です', 'が', '、', '何', '階', 'に', 'あり', 'ます', 'か', '?']
['저기', '오시', '는', '저', '분', '한테', '물어보', '아', '.']	['あちら', 'の', '方', 'に', '聞い', 'て', 'み', 'て', '。']
['어떻', 'ㄴ', '수수료', '말씀', '이', '신', '가요', '?']	['どの', 'よう', 'な', '手数', '料', 'の', 'こと', 'でしょう', 'か', '?']
['그러', '면', '너', '는', '여기', '서', '도', '자석', '볼', '그', '어야', '?']	['じゃあ', '、', 'あなた', 'は', 'ここ', 'で', 'も', '磁石', 'を', '見る', 'つもり', 'な', 'の', '?']
['콜라', '하나', '사이다', '나', '아', '오렌지', '주스', '하나', '이', '요', '.']	['コーラ', 'を', '一', 'つ', 'と', 'サイダー', 'か', 'オレンジ', 'ジュース', 'を', '一', 'つ', 'お', '願い', 'し', 'ます', '。']
['같이', '가', '아서', '찾', '아', '드리', 'ㄹ게요', '~']	['一緒', 'に', '行っ', 'て', '探し', 'て', '差し上げ', 'ます', '。']
['네', '~', '서브', '도', '좋', '고', '스매싱', '도', '좋', '아요', '.']	['はい', '、', 'サーブ', 'も', 'いい', 'し', '、', 'スマッシュ', 'も', 'いい', 'です', '。']
['오', '는', '길', '에', '용두', '동', '에서', '사', '아', '오', '면', '되', '어', '.']	['帰り', 'に', '龍頭', '洞', 'で', '買っ', 'て', 'くれ', 'ば', 'いい', '。']
['팀', '이', '면', '팀원', '을', '잘', '챙겨주', '어야지', '.']	['チーム', 'なら', '、', 'チーム', 'メンバー', 'の', '面倒', 'を', 'よく', '見', 'て', 'あげ', 'ない', 'と', '。']
['이동', '하', '는', '것', '도', '편하', '고', '코스', '만', '따라가', '면', '되', '니까', '.']	['移動', 'する', 'の', 'も', '楽', 'です', 'し', '、', 'コース', 'だけ', 'つい', 'て', '行け', 'ば', 'いい', 'から', '。']
['좋', '아', ',', '자신', '있', '게', ',', '당', '당하', '게', '.']	['よし', '、', '自信', 'を', '持っ', 'て', '、', '堂々', 'と', '。']
['오버', '핏', '롱코트', '를', '사', '고', '싶', '기', '는', '한데', '.']	['オーバーフィット', 'の', 'ロング', 'コート', 'を', '買い', 'たい', 'の', 'です', 'が', '。']
['그렇', '구나', '고맙', '다', '.']	['そう', 'か', '、', 'ありがとう', '。']
['어떻', '게', '지내', '었', '어요', '?']	['いかが', 'お', '過ごし', 'でし', 'た', 'か', '。']
['다시', '한번', '정확', '하', '게', '말씀하', '어', '주', '세요', '.']	['もう', '一', '度', '正確', 'に', 'おっしゃっ', 'て', 'ください', '。']
['여기', '가', '꾸', '어', '바로', '우', '맛', '집', '이래', '.']	['ここ', 'が', 'クォバロウ', 'が', '美味しい', 'お', '店', 'な', 'ん', 'だ', 'って', '。']
